asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.87,,4.3,26361,TRUE,FALSE,10K+ bought in past month,11.21,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-19,34
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.77,,4.3,26384,TRUE,FALSE,10K+ bought in past month,12.24,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-20,34
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.84,,4.3,26399,TRUE,FALSE,10K+ bought in past month,11.47,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-21,34
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.9,,4.3,26417,TRUE,FALSE,10K+ bought in past month,10.88,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-22,34
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",8.86,,4.3,26444,TRUE,FALSE,10K+ bought in past month,11.31,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-23,34
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9,,4.3,26450,TRUE,FALSE,10K+ bought in past month,9.87,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-24,34
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9.3,,4.3,26479,TRUE,FALSE,10K+ bought in past month,6.92,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-25,35
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9.31,,4.3,26504,TRUE,FALSE,10K+ bought in past month,6.77,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-26,35
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9.42,,4.3,26533,TRUE,FALSE,10K+ bought in past month,5.68,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-27,35
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9.4,,4.3,26537,TRUE,FALSE,10K+ bought in past month,5.88,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-28,35
B000QRAXSG,"Combat Max Roach Killing Gel for Indoor and Outdoor Use, 1 Syringe, 2.1 Ounce (Pack of 1)",9.5,,4.3,26562,TRUE,FALSE,10K+ bought in past month,4.89,Combat,https://www.amazon.com/dp/B000QRAXSG,2025-08-29,35
